"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Characteristics:Модель;"Characteristics:Операционная система";"Characteristics:Материал корпуса";"Characteristics:Количество SIM-карт";"Characteristics:Тип экрана";Characteristics:Диагональ;"Characteristics:Размер изображения";"Characteristics:Число пикселей на дюйм (PPI)";"Characteristics:Соотношение сторон";"Characteristics:Тыловая камера";"Characteristics:Тип корпуса";"Characteristics:Тип дисплея";Characteristics:Яркость;Characteristics:Звук;"Characteristics:Макс. время работы";"Characteristics:Класс водонепроницаемости";"Characteristics:Материал ремешка";Characteristics:Вид;Characteristics:Тип;"Characteristics:Количество микрофонов";"Characteristics:Вес наушника";"Characteristics:Голосовой набор";"Characteristics:Ответить/закончить разговор";"Characteristics:Время работы";Characteristics:Материал;"Characteristics:Активное шумоподавление";Characteristics:Особенности;"Characteristics:Комплект поставки";Characteristics:Спецификации;"Characteristics:Системные требования";Characteristics:Процессор;Characteristics:Экран;Characteristics:Разрешение;"Characteristics:Число пикселей на дюйм";Characteristics:Bluetooth;"Characteristics:Встроенные динамики";"Characteristics:Технология дисплея";"Characteristics:Full HD";Characteristics:Частота;"Characteristics:Количество ядер";"Characteristics:Объем видеопамяти";"Characteristics:Количество Thunderbolt 3 (USB-C)";"Characteristics:Количество USB 3.0";Weight;Length;Width;Height
558463074341;;;;"iPhone 12";"Apple iPhone 12, 128 ГБ, Черный, Ростест";;;https://static.tildacdn.com/tild3935-6139-4331-a362-393638326238/iphone_12_black_0.jpeg;;;;;;FSvGLNaEcAm31jep301T;;"iPhone 12";"IOS 14";Алюминий;1;"OLED, True Tone, сенсорный";"6.1 дюйм";2532x1170;460;19.5:9;"Двойная 12МП + 12МП";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162;71;146;7
759482902981;;0106;;;"Apple iPhone 12, 128 ГБ, Черный, Ростест- Черный- 128- Ростест";;;;67990.00;123;;"Цвет:Черный;Объем памяти:128;Регион поставки:Ростест";;4cT8xm8yzhPL3lNxJskp;558463074341;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0
461050902491;;;;"iPhone 12";"Apple iPhone 12, 256 ГБ, Черный, Ростест";;;https://static.tildacdn.com/tild3165-3863-4261-b232-356133373062/iphone_12_black_0.jpeg;;;;;;FDRE5BszErMFNlzN3lPE;;"iPhone 12";"IOS 14";Алюминий;1;"OLED, True Tone, сенсорный";"6.1 дюйм";2532x1170;460;19.5:9;"Двойная 12МП + 12МП";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162;71;146;7
701799569381;;0112;;;"Apple iPhone 12, 256 ГБ, Черный, Ростест- Черный- 256- Ростест";;;;78990.00;123;;"Цвет:Черный;Объем памяти:256;Регион поставки:Ростест";;OpEhDsGF3pic757PMFis;461050902491;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0
967004020531;;;;"iPhone 12";"Apple iPhone 12, 64 ГБ, Черный, Америка";;;https://static.tildacdn.com/tild6533-6433-4166-b739-373066326530/iphone_12_black_0.jpeg;;;;;;SUOtdn4Y229FUozI7jeC;;"iPhone 12";"IOS 14";Алюминий;1;"OLED, True Tone, сенсорный";"6.1 дюйм";2532x1170;460;19.5:9;"Двойная 12МП + 12МП";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162;71;146;7
299231092191;;0118;;;"Apple iPhone 12, 64 ГБ, Черный, Америка- Черный- 64- Америка";;;;58990.00;123;;"Цвет:Черный;Объем памяти:64;Регион поставки:Америка";;7viU3afMFIhs7UyFOPMZ;967004020531;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0
616206575921;;;;"iPhone 12";"Apple iPhone 12, 128 ГБ, Черный, Америка";;;https://static.tildacdn.com/tild6230-3163-4239-b963-303635373764/iphone_12_black_0.jpeg;;;;;;AehFY99nhFDLrKMie7xT;;"iPhone 12";"IOS 14";Алюминий;1;"OLED, True Tone, сенсорный";"6.1 дюйм";2532x1170;460;19.5:9;"Двойная 12МП + 12МП";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162;71;146;7
922293337511;;0124;;;"Apple iPhone 12, 128 ГБ, Черный, Америка- Черный- 128- Америка";;;;66990.00;123;;"Цвет:Черный;Объем памяти:128;Регион поставки:Америка";;lFMx0mS9FM5VLireM2y9;616206575921;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0
126983183681;;;;"iPhone 12";"Apple iPhone 12, 256 ГБ, Черный, Америка";;;https://static.tildacdn.com/tild3233-6638-4863-b538-303936306266/iphone_12_black_0.jpeg;;;;;;93Y4rMo5JMOiAJbGNAbn;;"iPhone 12";"IOS 14";Алюминий;1;"OLED, True Tone, сенсорный";"6.1 дюйм";2532x1170;460;19.5:9;"Двойная 12МП + 12МП";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162;71;146;7
946481926301;;0130;;;"Apple iPhone 12, 256 ГБ, Черный, Америка- Черный- 256- Америка";;;;77990.00;123;;"Цвет:Черный;Объем памяти:256;Регион поставки:Америка";;J9afU4s92FGaXOXnPsuP;126983183681;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0
